ticker,start_date,end_date,days,max_consecutive_days,total_stale_days
MLPB,2018-04-12,2018-07-11,91,75,863
HMI,2002-03-08,2002-06-06,91,556,926
BLD,2015-03-06,2015-06-03,90,62,1016
DOMO,2012-10-03,2012-12-31,90,462,522
COE,2013-06-27,2013-09-24,90,64,1318
EBMT,2008-11-21,2009-02-18,90,59,1786
AYTU,2013-07-24,2013-10-21,90,131,1696
PGM,2018-01-22,2018-04-20,89,63,473
TU,1999-01-29,1999-04-26,88,87,918
REI,2008-11-11,2009-02-06,88,98,1160
SRNE,2008-12-19,2009-03-16,88,82,1223
CCB,2010-05-17,2010-08-12,88,253,1818
GHG,2013-07-12,2013-10-07,88,70,661
BCTF,2007-10-02,2007-12-28,88,155,3025
KBLMU,2019-07-30,2019-10-25,88,72,494
CNF,2016-05-18,2016-08-12,87,107,627
MCF,1999-10-12,2000-01-06,87,90,1481
EVGN,2011-03-02,2011-05-27,87,77,725
CFB,2013-06-25,2013-09-19,87,104,814
JG,2014-02-26,2014-05-23,87,62,1061
BSRR,1994-04-20,1994-07-15,87,69,867
CTK,2008-12-10,2009-03-06,87,215,618
CTXR,2015-07-20,2015-10-14,87,62,329
DUO,2012-07-03,2012-09-26,86,340,408
CPHI,2003-01-09,2003-04-04,86,60,809
DMAC,2016-08-18,2016-11-11,86,61,941
COE,2015-05-19,2015-08-12,86,64,1318
BCDA,2006-02-21,2006-05-17,86,61,1991
BE,2003-04-10,2003-07-03,85,117,2051
VFF,2016-08-16,2016-11-08,85,84,379
SRNE,2011-08-17,2011-11-09,85,82,1223
UCIB,2016-05-09,2016-08-01,85,83,819
LONE,2011-08-11,2011-11-03,85,60,1126
CLRO,2003-01-23,2003-04-17,85,60,102
NSA,2009-12-22,2010-03-16,85,252,295
BE,2008-10-16,2009-01-08,85,117,2051
RDIB,2017-04-10,2017-07-03,85,64,1468
MCF,1997-01-03,1997-03-27,84,90,1481
DIVC,2017-09-21,2017-12-13,84,116,762
YUMA,1994-07-28,1994-10-19,84,319,2485
OCCI,2016-11-09,2017-01-31,84,426,1236
PLX,2001-12-18,2002-03-11,84,80,1679
COFS,2002-04-18,2002-07-10,84,58,2372
CTXR,2015-04-24,2015-07-16,84,62,329
PLX,2002-03-13,2002-06-04,84,80,1679
CPHI,2004-08-27,2004-11-18,84,60,809
FGBI,2014-03-13,2014-06-03,83,57,699
JJE,2018-02-14,2018-05-07,83,57,624
PFHD,2017-03-16,2017-06-06,83,57,537
