Date,Long,long_close,long_ret5,long_prob_up,Short,short_close,short_ret5,short_prob_up
2001-05-30,exc.us,23.735,-0.0477354118390561,0.6890439,swk.us,30.66,0.035812133072407,0.36931717
2001-05-31,tif.us,30.037,0.0640210407164498,0.6743613,so.us,15.999,-0.0231264454028377,0.40086305
2001-06-01,grmn.us,7.6527,0.1289610202934912,0.6838736,rave.us,2.1,-0.0095238095238094,0.39070672
2001-06-04,aig.us,1513.5,-0.0014800132144037,0.63627607,amgn.us,61.147,-0.0449572342060934,0.38757926
2001-06-05,t.us,18.489,-0.0083833630807508,0.6392539,bms.us,15.847,0.0133148229948887,0.36208764
2001-06-06,dal.us,7419.9,-0.0321837221525895,0.64852846,ati.us,17.096,-0.0471455311183903,0.37404254
2001-06-07,etr.us,28.64,-0.0635474860335195,0.64574695,rhi.us,24.578,-0.0292131174220847,0.40139577
2001-06-08,nbr.us,20.998,0.0149061815410991,0.6842555,efx.us,19.281,-0.0009335615372645,0.38475525
2001-06-11,etfc.us,70.3,-0.1479374110953057,0.68677074,rave.us,2.08,-0.0384615384615385,0.381872
2001-06-12,aa.us,84.559,-0.07159498101917,0.6509489,dte.us,32.403,0.0162330648396753,0.38153824
2001-06-13,noc.us,32.58,-0.0431860036832412,0.7184439,kbal.us,8.0552,0.0041588042506703,0.34514725
2001-06-14,dov.us,27.94,-0.0154259126700071,0.6889695,axgn.us,2.01,-0.0447761194029849,0.40078172
2001-06-15,xrx.us,27.078,-0.0312800059088558,0.6917945,wba.us,34.448,0.0226137947050626,0.3907896
2001-06-18,mo.us,7.5792,0.0752454084863838,0.6818402,seb.us,181.25,0.0683034482758619,0.3558371
2001-06-19,ir.us,15.531,-0.018350395982229,0.6705834,low.us,16.786,-0.0022042178005482,0.37377796
2001-06-20,ntap.us,10.959,0.0531982845150105,0.6795808,mitk.us,1.02,0.1764705882352941,0.35579595
2001-06-21,mxim.us,35.003,0.0686798274433619,0.66911393,rave.us,2.0,0.0749999999999999,0.3508756
2001-06-22,fcx.us,5.3834,-0.1571311810380058,0.68678963,nue.us,9.932,-0.0382601691502215,0.3826872
2001-06-25,ne.us,12.526,-0.1217467667252115,0.66918075,rave.us,2.12,0.0377358490566037,0.3949518
2001-06-26,biib.us,57.883,0.0825803776583797,0.6695855,hig.us,59.263,-0.0032904172924084,0.3955081
2001-06-27,cat.us,21.648,-0.0114098300073909,0.645861,mck.us,34.763,-0.0233294019503494,0.3735651
2001-06-28,ter.us,33.467,-0.0692622583440403,0.64214665,rave.us,2.17,0.0230414746543781,0.36984858
2001-06-29,rtn.us,21.701,-0.0258513432560711,0.652699,axgn.us,1.84,-0.0652173913043479,0.31548908
2001-07-02,pten.us,8.325,-0.1019579579579578,0.6755924,axgn.us,1.64,0.146341463414634,0.32043844
2001-07-03,abx.us,13.583,0.031804461459177,0.64903665,has.us,12.276,-0.0494460736396219,0.3798229
2001-07-05,gg.us,4.737,0.0475617479417351,0.64402163,gww.us,36.442,-0.0446737281159101,0.3945281
2001-07-06,intu.us,16.284,0.0697617293048393,0.66462064,rtn.us,21.512,-0.0080420230568986,0.38617927
